product_name,category,rating,url,source,budget_band,rating_band,price
Museum of Ice Cream x Sephora Collection I SCREAM Charm Bracelet,Accessories,3.0,,Sephora,medium,average,0
After-Sun Milk Soothing Body Lotion,After Sun Care,4.5,,Sephora,medium,excellent,0
After Sun Body Soother,After Sun Care,4.0,,Sephora,medium,good,0
After Shave Balm,Aftershave,5.0,,Sephora,medium,excellent,0
Post-Shave Soother,Aftershave,5.0,,Sephora,medium,excellent,0
Sauvage After Shave Balm,Aftershave,5.0,,Sephora,high,excellent,0
Extreme Blue After Shave Balm,Aftershave,5.0,,Sephora,high,excellent,0
After-Shave Balm - Unscented,Aftershave,4.5,,Sephora,high,excellent,0
After-Shave Balm - Lavender,Aftershave,4.5,,Sephora,high,excellent,0
After-Shave Balm - Sandalwood,Aftershave,4.5,,Sephora,high,excellent,0
Post Shave Cooling Gel,Aftershave,4.5,,Sephora,medium,excellent,0
The Cool Fix™,Aftershave,4.5,,Sephora,medium,excellent,0
Conditioning Beard Oil,Aftershave,4.5,,Sephora,high,excellent,0
Noir After Shave Balm,Aftershave,4.5,,Sephora,high,excellent,0
Bump Fix™ Razor Bump & Ingrown Hair Solution,Aftershave,4.0,,Sephora,medium,good,0
Beard Comb,Aftershave,3.5,,Sephora,high,average,0
PMD Replacement Discs,Anti-Aging,5.0,,Sephora,medium,excellent,0
CARAT FACE,Anti-Aging,5.0,,Sephora,high,excellent,0
CARAT,Anti-Aging,5.0,,Sephora,high,excellent,0
Microneedling Tool 2.0,Anti-Aging,5.0,,Sephora,high,excellent,0
Microneedling Tool 2.0 Roller Head Twin Pack,Anti-Aging,5.0,,Sephora,high,excellent,0
GloPRO® BODY MicroTip™ Attachment Head,Anti-Aging,4.5,,Sephora,high,excellent,0
Lightstim® for Acne,Anti-Aging,4.5,,Sephora,high,excellent,0
Gua Sha Facial Lifting Tool,Anti-Aging,4.5,,Sephora,medium,excellent,0
NuBODY Skin Toning Device,Anti-Aging,4.5,,Sephora,high,excellent,0
Eye And Lip Enhancer Attachment,Anti-Aging,4.5,,Sephora,high,excellent,0
Personal Microderm Pro,Anti-Aging,4.5,,Sephora,high,excellent,0
Personal Microderm,Anti-Aging,4.5,,Sephora,high,excellent,0
PMD Personal Microderm with Hand & Foot Kit,Anti-Aging,4.5,,Sephora,high,excellent,0
S CARAT,Anti-Aging,4.5,,Sephora,high,excellent,0
